"Station","Annee","RR - Precipitation","Lat","Long","Alti"
"Prapoutel","1988","-Inf",NA,NA,NA
"Prapoutel","1989","-Inf",NA,NA,NA
"Prapoutel","1990","-Inf",NA,NA,NA
"Prapoutel","1991","-Inf",NA,NA,NA
"Prapoutel","1992","-Inf",NA,NA,NA
"Prapoutel","1993","-Inf",NA,NA,NA
"Prapoutel","1994","-Inf",NA,NA,NA
"Prapoutel","1995","29.7",NA,NA,NA
"Prapoutel","1996","34.2",NA,NA,NA
"Prapoutel","1997","19.7",NA,NA,NA
"Prapoutel","1998","40",NA,NA,NA
"Prapoutel","1999","40.6",NA,NA,NA
"Prapoutel","2000","44",NA,NA,NA
"Prapoutel","2001","36.8",NA,NA,NA
"Prapoutel","2002","30",NA,NA,NA
"Prapoutel","2003","5",NA,NA,NA
"Prapoutel","2004","12.6",NA,NA,NA
"Prapoutel","2005","-Inf",NA,NA,NA
"Prapoutel","2006","-Inf",NA,NA,NA
"Prapoutel","2007","-Inf",NA,NA,NA
"Prapoutel","2008","-Inf",NA,NA,NA
"Prapoutel","2009","-Inf",NA,NA,NA
"Prapoutel","2010","-Inf",NA,NA,NA
"Prapoutel","2011","-Inf",NA,NA,NA
"Prapoutel","2012","-Inf",NA,NA,NA
"Prapoutel","2013","-Inf",NA,NA,NA
"Prapoutel","2014","-Inf",NA,NA,NA
"Prapoutel","2015","-Inf",NA,NA,NA
"Prapoutel","2016","-Inf",NA,NA,NA
"Prapoutel","2017","-Inf",NA,NA,NA
"Prapoutel","2018","-Inf",NA,NA,NA
"Prapoutel","2019","-Inf",NA,NA,NA
"Prapoutel","2020","-Inf",NA,NA,NA
"Prapoutel","2021","-Inf",NA,NA,NA
"Prapoutel","2022","-Inf",NA,NA,NA
"PRAPOUTEL","1950","-Inf",NA,NA,NA
"PRAPOUTEL","1951","-Inf",NA,NA,NA
"PRAPOUTEL","1952","-Inf",NA,NA,NA
"PRAPOUTEL","1953","-Inf",NA,NA,NA
"PRAPOUTEL","1954","-Inf",NA,NA,NA
"PRAPOUTEL","1955","-Inf",NA,NA,NA
"PRAPOUTEL","1956","-Inf",NA,NA,NA
"PRAPOUTEL","1957","-Inf",NA,NA,NA
"PRAPOUTEL","1958","-Inf",NA,NA,NA
"PRAPOUTEL","1959","-Inf",NA,NA,NA
"PRAPOUTEL","1960","-Inf",NA,NA,NA
"PRAPOUTEL","1961","-Inf",NA,NA,NA
"PRAPOUTEL","1962","-Inf",NA,NA,NA
"PRAPOUTEL","1963","-Inf",NA,NA,NA
"PRAPOUTEL","1964","-Inf",NA,NA,NA
"PRAPOUTEL","1965","-Inf",NA,NA,NA
"PRAPOUTEL","1966","-Inf",NA,NA,NA
"PRAPOUTEL","1967","-Inf",NA,NA,NA
"PRAPOUTEL","1968","-Inf",NA,NA,NA
"PRAPOUTEL","1969","-Inf",NA,NA,NA
"PRAPOUTEL","1970","-Inf",NA,NA,NA
"PRAPOUTEL","1971","-Inf",NA,NA,NA
"PRAPOUTEL","1972","-Inf",NA,NA,NA
"PRAPOUTEL","1973","-Inf",NA,NA,NA
"PRAPOUTEL","1974","-Inf",NA,NA,NA
"PRAPOUTEL","1975","-Inf",NA,NA,NA
"PRAPOUTEL","1976","-Inf",NA,NA,NA
"PRAPOUTEL","1977","-Inf",NA,NA,NA
"PRAPOUTEL","1978","-Inf",NA,NA,NA
"PRAPOUTEL","1979","-Inf",NA,NA,NA
"PRAPOUTEL","1980","-Inf",NA,NA,NA
"PRAPOUTEL","1981","-Inf",NA,NA,NA
"PRAPOUTEL","1982","-Inf",NA,NA,NA
"PRAPOUTEL","1983","-Inf",NA,NA,NA
"PRAPOUTEL","1984","-Inf",NA,NA,NA
"PRAPOUTEL","1985","-Inf",NA,NA,NA
"PRAPOUTEL","1986","-Inf",NA,NA,NA
"PRAPOUTEL","1987","-Inf",NA,NA,NA
"PRAPOUTEL","1988","-Inf",NA,NA,NA
"PRAPOUTEL","1989","-Inf",NA,NA,NA
"PRAPOUTEL","1990","-Inf",NA,NA,NA
"PRAPOUTEL","1991","-Inf",NA,NA,NA
"PRAPOUTEL","1992","-Inf",NA,NA,NA
"PRAPOUTEL","1993","-Inf",NA,NA,NA
"PRAPOUTEL","1994","-Inf",NA,NA,NA
"PRAPOUTEL","1995","-Inf",NA,NA,NA
"PRAPOUTEL","1996","-Inf",NA,NA,NA
"PRAPOUTEL","1997","-Inf",NA,NA,NA
"PRAPOUTEL","1998","-Inf",NA,NA,NA
"PRAPOUTEL","1999","-Inf",NA,NA,NA
"PRAPOUTEL","2000","-Inf",NA,NA,NA
"PRAPOUTEL","2001","-Inf",NA,NA,NA
"PRAPOUTEL","2002","-Inf",NA,NA,NA
"PRAPOUTEL","2003","-Inf",NA,NA,NA
"PRAPOUTEL","2004","26.5",NA,NA,NA
"PRAPOUTEL","2005","24.9",NA,NA,NA
"PRAPOUTEL","2006","34",NA,NA,NA
"PRAPOUTEL","2007","21.2",NA,NA,NA
"PRAPOUTEL","2008","30.5",NA,NA,NA
"PRAPOUTEL","2009","33",NA,NA,NA
"PRAPOUTEL","2010","20",NA,NA,NA
"PRAPOUTEL","2011","34",NA,NA,NA
"PRAPOUTEL","2012","48.5",NA,NA,NA
"PRAPOUTEL","2013","32",NA,NA,NA
"PRAPOUTEL","2014","17.9",NA,NA,NA
"PRAPOUTEL","2015","53",NA,NA,NA
"PRAPOUTEL","2016","32",NA,NA,NA
"PRAPOUTEL","2017","28",NA,NA,NA
"PRAPOUTEL","2018","52.5",NA,NA,NA
"PRAPOUTEL","2019","5",NA,NA,NA
"PRAPOUTEL","2020","23",NA,NA,NA
"PRAPOUTEL","2021","20",NA,NA,NA
"PRAPOUTEL","2022","16.4",NA,NA,NA
"ALLEMOND","1950","-Inf",NA,NA,NA
"ALLEMOND","1951","-Inf",NA,NA,NA
"ALLEMOND","1952","-Inf",NA,NA,NA
"ALLEMOND","1953","-Inf",NA,NA,NA
"ALLEMOND","1954","-Inf",NA,NA,NA
"ALLEMOND","1955","-Inf",NA,NA,NA
"ALLEMOND","1956","-Inf",NA,NA,NA
"ALLEMOND","1957","-Inf",NA,NA,NA
"ALLEMOND","1958","-Inf",NA,NA,NA
"ALLEMOND","1959","62.4",NA,NA,NA
"ALLEMOND","1960","68",NA,NA,NA
"ALLEMOND","1961","96",NA,NA,NA
"ALLEMOND","1962","74.7",NA,NA,NA
"ALLEMOND","1963","58",NA,NA,NA
"ALLEMOND","1964","49.5",NA,NA,NA
"ALLEMOND","1965","71.4",NA,NA,NA
"ALLEMOND","1966","72",NA,NA,NA
"ALLEMOND","1967","65",NA,NA,NA
"ALLEMOND","1968","145.2",NA,NA,NA
"ALLEMOND","1969","68.6",NA,NA,NA
"ALLEMOND","1970","59.8",NA,NA,NA
"ALLEMOND","1971","83.5",NA,NA,NA
"ALLEMOND","1972","58.9",NA,NA,NA
"ALLEMOND","1973","95",NA,NA,NA
"ALLEMOND","1974","100.7",NA,NA,NA
"ALLEMOND","1975","76.7",NA,NA,NA
"ALLEMOND","1976","84.6",NA,NA,NA
"ALLEMOND","1977","65",NA,NA,NA
"ALLEMOND","1978","80",NA,NA,NA
"ALLEMOND","1979","96",NA,NA,NA
"ALLEMOND","1980","80",NA,NA,NA
"ALLEMOND","1981","75",NA,NA,NA
"ALLEMOND","1982","73",NA,NA,NA
"ALLEMOND","1983","114",NA,NA,NA
"ALLEMOND","1984","71",NA,NA,NA
"ALLEMOND","1985","58",NA,NA,NA
"ALLEMOND","1986","98",NA,NA,NA
"ALLEMOND","1987","57",NA,NA,NA
"ALLEMOND","1988","80",NA,NA,NA
"ALLEMOND","1989","57",NA,NA,NA
"ALLEMOND","1990","110",NA,NA,NA
"ALLEMOND","1991","65",NA,NA,NA
"ALLEMOND","1992","71",NA,NA,NA
"ALLEMOND","1993","76",NA,NA,NA
"ALLEMOND","1994","82",NA,NA,NA
"ALLEMOND","1995","63",NA,NA,NA
"ALLEMOND","1996","78",NA,NA,NA
"ALLEMOND","1997","80",NA,NA,NA
"ALLEMOND","1998","66.5",NA,NA,NA
"ALLEMOND","1999","60.5",NA,NA,NA
"ALLEMOND","2000","73",NA,NA,NA
"ALLEMOND","2001","98",NA,NA,NA
"ALLEMOND","2002","61",NA,NA,NA
"ALLEMOND","2003","66",NA,NA,NA
"ALLEMOND","2004","83.3",NA,NA,NA
"ALLEMOND","2005","79.3",NA,NA,NA
"ALLEMOND","2006","48",NA,NA,NA
"ALLEMOND","2007","56.7",NA,NA,NA
"ALLEMOND","2008","61.8",NA,NA,NA
"ALLEMOND","2009","67",NA,NA,NA
"ALLEMOND","2010","79.8",NA,NA,NA
"ALLEMOND","2011","73.9",NA,NA,NA
"ALLEMOND","2012","92.7",NA,NA,NA
"ALLEMOND","2013","75.1",NA,NA,NA
"ALLEMOND","2014","71.3",NA,NA,NA
"ALLEMOND","2015","105.1",NA,NA,NA
"ALLEMOND","2016","49.4",NA,NA,NA
"ALLEMOND","2017","119.2",NA,NA,NA
"ALLEMOND","2018","64",NA,NA,NA
"ALLEMOND","2019","67.4",NA,NA,NA
"ALLEMOND","2020","107.2",NA,NA,NA
"ALLEMOND","2021","66.5",NA,NA,NA
