"NOM","ANNEE","PLUIE"
"ST-GEOIRE-EN-VALDAINE",1953,62.8
"ST-GEOIRE-EN-VALDAINE",1954,56.8
"ST-GEOIRE-EN-VALDAINE",1955,59.7
"ST-GEOIRE-EN-VALDAINE",1956,84
"ST-GEOIRE-EN-VALDAINE",1957,57.7
"ST-GEOIRE-EN-VALDAINE",1958,90.2
"ST-GEOIRE-EN-VALDAINE",1959,49.5
"ST-GEOIRE-EN-VALDAINE",1960,75.2
"ST-GEOIRE-EN-VALDAINE",1961,66.1
"ST-GEOIRE-EN-VALDAINE",1962,54.1
"ST-GEOIRE-EN-VALDAINE",1963,47.6
"ST-GEOIRE-EN-VALDAINE",1964,46.1
"ST-GEOIRE-EN-VALDAINE",1965,40.2
"ST-GEOIRE-EN-VALDAINE",1966,44
"ST-GEOIRE-EN-VALDAINE",1967,47
"ST-GEOIRE-EN-VALDAINE",1968,52.8
"ST-GEOIRE-EN-VALDAINE",1969,48.5
"ST-GEOIRE-EN-VALDAINE",1970,35.5
"ST-GEOIRE-EN-VALDAINE",1971,57.5
"ST-GEOIRE-EN-VALDAINE",1972,124
"ST-GEOIRE-EN-VALDAINE",1973,42.4
"ST-GEOIRE-EN-VALDAINE",1974,47.3
"ST-GEOIRE-EN-VALDAINE",1975,91.1
"ST-GEOIRE-EN-VALDAINE",1976,60.5
"ST-GEOIRE-EN-VALDAINE",1977,41.5
"ST-GEOIRE-EN-VALDAINE",1978,91.5
"ST-GEOIRE-EN-VALDAINE",1979,55
"ST-GEOIRE-EN-VALDAINE",1980,57
"ST-GEOIRE-EN-VALDAINE",1981,56.4
"ST-GEOIRE-EN-VALDAINE",1982,44.7
"ST-GEOIRE-EN-VALDAINE",1983,65.1
"ST-GEOIRE-EN-VALDAINE",1984,44
"ST-GEOIRE-EN-VALDAINE",1985,43.2
"ST-GEOIRE-EN-VALDAINE",1986,55
"ST-GEOIRE-EN-VALDAINE",1987,75.3
"ST-GEOIRE-EN-VALDAINE",1988,68
"ST-GEOIRE-EN-VALDAINE",1989,47.3
"ST-GEOIRE-EN-VALDAINE",1990,47.5
"ST-GEOIRE-EN-VALDAINE",1991,108
"ST-GEOIRE-EN-VALDAINE",1992,61
"ST-GEOIRE-EN-VALDAINE",1993,92
"ST-GEOIRE-EN-VALDAINE",1994,60
"ST-GEOIRE-EN-VALDAINE",1995,99
"ST-GEOIRE-EN-VALDAINE",1996,67
"ST-GEOIRE-EN-VALDAINE",1997,53.4
"ST-GEOIRE-EN-VALDAINE",1998,92
"ST-GEOIRE-EN-VALDAINE",1999,135
"ST-GEOIRE-EN-VALDAINE",2000,48.6
"ST-GEOIRE-EN-VALDAINE",2001,55.8
"ST-GEOIRE-EN-VALDAINE",2002,200
"ST-GEOIRE-EN-VALDAINE",2003,60
"ST-GEOIRE-EN-VALDAINE",2004,88.3
"ST-GEOIRE-EN-VALDAINE",2005,21.1
"ST-GEOIRE-EN-VALDAINE",2006,NA
"ST-GEOIRE-EN-VALDAINE",2007,NA
"ST-GEOIRE-EN-VALDAINE",2008,NA
"ST-GEOIRE-EN-VALDAINE",2009,NA
"ST-GEOIRE-EN-VALDAINE",2010,NA
"ST-GEOIRE-EN-VALDAINE",2011,NA
"ST-GEOIRE-EN-VALDAINE",2012,NA
"ST-GEOIRE-EN-VALDAINE",2013,NA
"ST-GEOIRE-EN-VALDAINE",2014,NA
"ST-GEOIRE-EN-VALDAINE",2015,NA
"ST-GEOIRE-EN-VALDAINE",2016,NA
"ST-GEOIRE-EN-VALDAINE",2017,NA
"ST-GEOIRE-EN-VALDAINE",2018,NA
"ST-GEOIRE-EN-VALDAINE",2019,NA
"ST-GEOIRE-EN-VALDAINE",2020,NA
"ST-GEOIRE-EN-VALDAINE",2021,NA
"ST-GEOIRE-EN-VALDAINE",2022,NA
"CHARAVINES",1950,52
"CHARAVINES",1951,61.2
"CHARAVINES",1952,48.6
"CHARAVINES",1953,77.8
"CHARAVINES",1954,65.8
"CHARAVINES",1955,59.6
"CHARAVINES",1956,78.4
"CHARAVINES",1957,60.6
"CHARAVINES",1958,93
"CHARAVINES",1959,55.6
"CHARAVINES",1960,72.4
"CHARAVINES",1961,68
"CHARAVINES",1962,44.8
"CHARAVINES",1963,44.3
"CHARAVINES",1964,43.6
"CHARAVINES",1965,43.2
"CHARAVINES",1966,44.7
"CHARAVINES",1967,58.5
