"V1","V2","V3"
"PRAPOUTEL","1979","-Inf"
"PRAPOUTEL","1980","-Inf"
"PRAPOUTEL","1981","-Inf"
"PRAPOUTEL","1982","-Inf"
"PRAPOUTEL","1983","-Inf"
"PRAPOUTEL","1984","-Inf"
"PRAPOUTEL","1985","-Inf"
"PRAPOUTEL","1986","-Inf"
"PRAPOUTEL","1987","-Inf"
"PRAPOUTEL","1988","-Inf"
"PRAPOUTEL","1989","-Inf"
"PRAPOUTEL","1990","-Inf"
"PRAPOUTEL","1991","-Inf"
"PRAPOUTEL","1992","-Inf"
"PRAPOUTEL","1993","-Inf"
"PRAPOUTEL","1994","-Inf"
"PRAPOUTEL","1995","-Inf"
"PRAPOUTEL","1996","-Inf"
"PRAPOUTEL","1997","-Inf"
"PRAPOUTEL","1998","-Inf"
"PRAPOUTEL","1999","-Inf"
"PRAPOUTEL","2000","-Inf"
"PRAPOUTEL","2001","-Inf"
"PRAPOUTEL","2002","-Inf"
"PRAPOUTEL","2003","-Inf"
"PRAPOUTEL","2004","26.5"
"PRAPOUTEL","2005","24.9"
"PRAPOUTEL","2006","34"
"PRAPOUTEL","2007","21.2"
"PRAPOUTEL","2008","30.5"
"PRAPOUTEL","2009","33"
"PRAPOUTEL","2010","20"
"PRAPOUTEL","2011","34"
"PRAPOUTEL","2012","48.5"
"PRAPOUTEL","2013","32"
"PRAPOUTEL","2014","17.9"
"PRAPOUTEL","2015","53"
"PRAPOUTEL","2016","32"
"PRAPOUTEL","2017","28"
"PRAPOUTEL","2018","52.5"
"PRAPOUTEL","2019","5"
"PRAPOUTEL","2020","23"
"PRAPOUTEL","2021","20"
"PRAPOUTEL","2022","16.4"
"ALLEMOND","1950","-Inf"
"ALLEMOND","1951","-Inf"
"ALLEMOND","1952","-Inf"
"ALLEMOND","1953","-Inf"
"ALLEMOND","1954","-Inf"
"ALLEMOND","1955","-Inf"
"ALLEMOND","1956","-Inf"
"ALLEMOND","1957","-Inf"
"ALLEMOND","1958","-Inf"
"ALLEMOND","1959","62.4"
